schoolid,count
arizonast,84
usc,61
michigan,57
flmdnjc,42
columbia,37
miamifl,36
minnesota,35
ohio,33
ucla,33
michiganst,32
sandiegost,32
texas,32
floridaam,30
txsjjcn,25
gatech,25
calpoly,25
missst,24
tennessee,24
cincy,24
stanford,24
momaple,23
unlv,22
bradley,22
setonhall,22
iltrito,22
arizona,21
auburn,20
lsu,20
hopemi,19
creighton,19
bostonuniv,19
okstate,17
oregon,17
ulala,17
camerri,17
longbeach,16
floridast,15
california,15
texasam,15
kentst,14
madeajc,14
txwesleyan,14
stjohns,14
arkansas,14
calstfull,13
fordham,13
sanjosest,13
azyavap,12
laverneca,12
notredame,12
florida,12
hartford,11
alabama,11
caorang,11
iowa,11
casaddl,11
nebraska,11
alcalho,10
missouri,10
casacra,10
newhamp,10
cafrecc,10
illinois,10
bowlgreen,10
caelcam,9
georgia,9
ecentralok,9
swmost,9
cacanad,9
oksemin,9
hiramoh,9
olddom,9
unc,9
bucknell,9
cacypre,8
duke,8
flchipo,8
ucsb,8
cadiabl,7
washst,7
salabama,7
sillinois,7
holycross,7
virginia,7
ohiost,7
cacosum,7
clemson,7
fresnost,7
casjcco,7
olemiss,7
southernu,7
swtexas,7
vermont,6
baylor,6
cachabo,6
thomasmore,6
ilcenjc,6
txparis,6
santaclara,6
flmdwjc,6
capierc,6
nwmost,6
rice,6
pepperdine,6
umass,6
oxnard,6
lincolnlandcc,6
oklahoma,5
dartmouth,5
carioho,5
ilwesleyan,5
stjosephin,5
azcentr,5
washington,5
syracuse,5
waclark,5
azmescc,5
flgccco,5
pbsc,5
vandy,5
jacksonvil,5
scspart,5
byu,5
cacontr,5
houston,5
grcanyon,5
calobcc,5
stjosephs,5
stetson,4
wrightst,4
neastern,4
swarthmore,4
wichitast,4
washcollmd,4
linfieldor,4
mojeffe,4
willmary,4
oregonst,4
willinois,4
inconco,4
casajco,4
chapmanca,4
txchrist,4
cmichigan,3
lewclarkst,3
cacsmat,3
nwestern,3
iawesleyan,3
