first,playerid,updated_salary,old_salary,increase in %
1986,bernato01,578333.333333333333,400000.000000000000,44.58333333333333325000
1986,gedmari01,670454.500000000000,477500.000000000000,40.40931937172774869100
1986,puckeki01,3588333.416666666667,130000.000000000000,2660.2564743589743600
1986,clemero02,6043050.000000000000,140000.000000000000,4216.4642857142857100
1986,scottmi03,1287500.166666666667,360000.000000000000,257.6389351851851900
1986,davisgl01,1781562.500000000000,60000.000000000000,2869.2708333333333300
1986,gaettga01,1463037.000000000000,415000.000000000000,252.5390361445783100
1986,barrema02,692000.000000000000,272500.000000000000,153.9449541284403700
1986,leonade01,883333.000000000000,871429.000000000000,1.36603211506617291800
1986,higuete01,1931875.000000000000,60000.000000000000,3119.7916666666666700
1986,fernato01,1418055.666666666667,127500.000000000000,1012.2005228758169900
1986,davisjo02,927333.200000000000,550000.000000000000,68.60603636363636363600
1986,barfije01,1383333.285714285714,325000.000000000000,325.6410109890109900
1987,langsma01,2751666.666666666667,201250.000000000000,1267.2877846790890300
1987,violafr01,2696666.666666666667,524500.000000000000,414.1404512233873500
1987,bedrost01,1028125.000000000000,600000.000000000000,71.35416666666666666700
1987,keyji01,2827952.181818181818,341875.000000000000,727.1889380089745700
1987,samueju01,918000.000000000000,376250.000000000000,143.9867109634551500
1987,molitpa01,3000555.500000000000,1055000.000000000000,184.4128436018957300
1987,smithza01,1473500.000000000000,200000.000000000000,636.7500000000000000
1987,mcgwima01,4975223.600000000000,60000.000000000000,8192.0393333333333300
1987,lavalmi01,958650.000000000000,70000.000000000000,1269.5000000000000000
1987,pendlte01,1471250.000000000000,151250.000000000000,872.7272727272727300
1987,leonaje01,918750.000000000000,900000.000000000000,2.08333333333333333300
1987,daviser01,2273977.142857142857,90000.000000000000,2426.6412698412698400
1988,francju01,1481419.312500000000,601666.666666666667,146.2192763157894700
1988,larkiba01,4607647.058823529412,68750.000000000000,6602.0320855614973300
1988,oestero01,650000.000000000000,650000.000000000000,0.000000000000000000000000
1988,steinte01,2086666.666666666667,62500.000000000000,3238.6666666666666700
1988,greenmi01,2408888.888888888889,60000.000000000000,3914.8148148148148200
1988,vanslan01,2469375.000000000000,351666.666666666667,602.1919431279620800
1988,stewada01,2329166.750000000000,371666.666666666667,526.6816367713004500
1988,clarkwi02,4157066.384615384615,90000.000000000000,4518.9626495726495700
1988,learyti01,1272500.000000000000,130000.000000000000,878.8461538461538500
1988,whitede03,2612857.142857142857,65000.000000000000,3919.7802197802197800
1988,eckerde01,2065509.416666666667,788888.666666666667,161.8252110775242500
1988,francjo01,2605138.833333333333,190000.000000000000,1271.1257017543859600
1988,mcreyke01,2353571.571428571429,350000.000000000000,572.4490204081632700
1988,jacksda02,2404000.000000000000,165000.000000000000,1356.9696969696969700
1988,reynoha01,1102142.714285714286,85000.000000000000,1196.6384873949579800
1988,bonilbo01,3722857.142857142857,115000.000000000000,3137.2670807453416100
1988,hershor01,2736153.923076923077,670666.666666666667,307.9752370393026500
1988,galaran01,3708111.133333333333,78750.000000000000,4608.7125502645502600
1988,whitter01,916666.666666666667,481666.666666666667,90.31141868512110720400
1989,jacksbo01,1023166.666666666667,356500.000000000000,187.0032725572697500
1989,sierrru01,3080357.142857142857,145000.000000000000,2024.3842364532019700
1989,davisma01,2075000.000000000000,370000.000000000000,460.8108108108108100
1989,draveda01,750000.000000000000,466250.000000000000,60.85790884718498659500
1989,finlech01,4661111.642857142857,82833.333333333333,5527.0965507329692700
1989,dunstsh01,1717567.214285714286,154166.666666666667,1014.0976525096525100
1989,russeje01,1603333.375000000000,135000.000000000000,1087.6543518518518500
1989,tettlmi01,1711272.888888888889,107500.000000000000,1491.8817571059431500
1989,mcgrifr01,4378054.533333333333,95000.000000000000,4508.4784561403508800
1989,johnsho01,1424687.500000000000,333750.000000000000,326.8726591760299600
1989,mitchke01,2172555.555555555556,140833.333333333333,1442.6429980276134200
1989,darliro01,2171428.571428571429,680000.000000000000,219.3277310924369700
1990,fieldce01,4668250.000000000000,101750.000000000000,4487.9606879606879600
1990,drabedo01,3387573.555555555556,157500.000000000000,2050.8403527336860700
1990,bondsba01,10416962.333333333333,185000.000000000000,5530.7904504504504500
1990,myersra01,3604545.454545454545,158666.666666666667,2171.7723453017570600
1990,griffke02,7220746.761904761905,68000.000000000000,10518.7452380952381000
1990,welchbo01,2986666.800000000000,874166.600000000000,241.6587639015263200
1990,sciosmi01,1474999.750000000000,842000.000000000000,75.17811757719714964400
1990,hatchbi01,931666.666666666667,231250.000000000000,302.8828828828828800
1990,willima04,5626071.428571428571,95000.000000000000,5822.1804511278195500
1990,grubeke01,3037500.000000000000,194125.000000000000,1464.7134578235672900
1990,maddugr01,8078289.473684210526,178750.000000000000,4419.3227824806772200
1990,rijojo01,3676944.333333333333,223333.333333333333,1546.3929850746268700
1990,breamsi01,1282000.000000000000,290500.000000000000,341.3080895008605900
1990,burksel01,3700000.000000000000,154166.666666666667,2299.9999999999999900
1990,dibblro01,1083428.571428571429,85000.000000000000,1174.6218487394958000
1990,thigpbo01,1905400.200000000000,305625.000000000000,523.4438282208589000
1991,harvebr01,2520000.000000000000,188333.333333333333,1238.0530973451327500
1991,gantro01,3178857.285714285714,95000.000000000000,3246.1655639097744400
1991,alomaro01,5433129.642857142857,270000.000000000000,1912.2702380952381000
1991,wegmabi01,1988000.000000000000,263000.000000000000,655.8935361216730000
1991,cartejo01,5282464.250000000000,814444.500000000000,548.5972033699042700
1991,glavito02,6795225.947368421053,132500.000000000000,5028.4724131082423000
1991,hrbekke01,2975000.000000000000,1333333.333333333333,123.1250000000000000
1991,pagnoto01,1947187.500000000000,81250.000000000000,2296.5384615384615400
1991,venturo01,4788214.285714285714,100000.000000000000,4688.2142857142857100
1991,abbotji01,1815357.142857142857,126500.000000000000,1335.0649350649350600
1992,frymatr01,4263636.363636363636,125000.000000000000,3310.9090909090909100
1992,gonzaju03,6209821.428571428571,100000.000000000000,6109.8214285714285700
1992,bordepa01,928333.333333333333,260875.000000000000,255.8536974924133500
1992,sheffga01,9300197.222222222222,201666.666666666667,4511.6680440771349800
1992,martied01,3770874.461538461538,229000.000000000000,1546.6700705408129000
1992,jonesdo01,1237182.181818181818,697000.000000000000,77.50103038998304418900
1992,gracema01,3686458.333333333333,555000.000000000000,564.2267267267267300
1992,smoltjo01,7496913.666666666667,217000.000000000000,3354.7989247311828000
1992,devermi01,1453571.428571428571,145000.000000000000,902.4630541871921200
1992,lindjo01,2250000.000000000000,232500.000000000000,867.7419354838709700
1992,walkela01,7869887.928571428571,185000.000000000000,4153.9934749034749000
1992,mcdowja01,3487500.000000000000,118750.000000000000,2836.8421052631578900
1992,daultda01,3784722.333333333333,486611.000000000000,677.7716355226933500
1993,grissma02,3959615.384615384615,157166.666666666667,2419.3735214944122600
1993,schilcu01,7107812.500000000000,144333.333333333333,4824.5814087759815400
1993,olerujo01,5621875.000000000000,260389.000000000000,2059.0293752808298400
1993,stanlmi02,1925000.000000000000,122800.000000000000,1467.5895765472312700
1993,bellja01,5015909.090909090909,317500.000000000000,1479.8138869005010700
1993,thompro01,2784999.800000000000,709785.714285714286,292.3719150649089300
1993,belleal01,8807844.909090909091,122500.000000000000,7090.0774768089053800
1993,vizquom01,3123383.400000000000,185750.000000000000,1581.4984656796769900
1993,loftoke01,4024749.066666666667,105000.000000000000,3733.0943492063492100
1993,montgje01,2637500.000000000000,1206666.666666666667,118.5773480662983400
1993,dykstle01,5019444.500000000000,915476.142857142857,448.2878542672486000
1993,manwaki01,1537857.142857142857,184500.000000000000,733.5269066976384000
1993,baergca01,2432499.800000000000,276666.666666666667,779.2167951807228900
1994,cordewi01,1515000.090909090909,126500.000000000000,1097.6285303629177100
1994,lewisda01,1461111.111111111111,158750.000000000000,820.3849518810148700
1994,coneda01,6687500.125000000000,1680937.500000000000,297.8434727644543600
1994,mondera01,5530083.333333333333,109000.000000000000,4973.4709480122324200
1994,beckro01,3278791.375000000000,185000.000000000000,1672.3196621621621600
1994,aloumo01,5704198.266666666667,140166.666666666667,3969.5825921521997500
1994,portuma01,2549206.428571428571,734916.666666666667,246.8701342879821200
1995,johnsch04,3812350.000000000000,109000.000000000000,3397.5688073394495400
1995,coninje01,2481538.461538461538,177500.000000000000,1298.0498374864572000
1995,edmonji01,5746427.133333333333,113250.000000000000,4974.1078440029433400
1995,thomeji01,7891203.722222222222,167500.000000000000,4611.1664013266998300
1995,vaughmo01,9917500.100000000000,307500.000000000000,3125.2032845528455300
1995,finlest01,4655641.846153846154,1271333.333333333333,266.2015086119962900
1995,ramirma02,12153398.176470588235,110000.000000000000,10948.5437967914438500
1995,sandere02,3123076.923076923077,436333.333333333333,615.7548334018922300
1995,valenjo02,4001250.000000000000,216333.333333333333,1749.5762711864406800
1995,henketo01,2325000.000000000000,1596731.555555555556,45.60994876756574398200
1995,castivi02,3709583.333333333333,140500.000000000000,2540.2728351126927600
1995,bicheda01,5528571.428571428571,820000.000000000000,574.2160278745644600
1995,schoupe01,1643254.000000000000,170000.000000000000,866.6200000000000000
1995,caminke01,3860714.285714285714,1504500.000000000000,156.6111190238807400
1995,johnsra05,11175834.600000000000,1318750.000000000000,747.4566521327014200
1995,sosasa01,9989583.333333333333,698833.333333333333,1329.4657762938230400
1995,mussimi01,10218294.214285714286,369375.000000000000,2666.3740681653372000
1995,mesajo01,2566666.846153846154,245900.000000000000,943.7848093346263300
1995,snowjt01,3106250.000000000000,155000.000000000000,1904.0322580645161300
1996,brantje01,1900000.000000000000,903571.428571428571,110.2766798418972300
1996,leiteal01,6594560.000000000000,307785.714285714286,2042.5815734509166800
1996,younger01,2625000.000000000000,192500.000000000000,1263.6363636363636400
1996,rodrial01,19876579.300000000000,442333.000000000000,4393.5782091772488100
1996,hollato01,1226000.000000000000,109000.000000000000,1024.7706422018348600
1996,butlebr01,1866652.000000000000,1812727.181818181818,2.97478951729134992500
1996,hoffmtr01,5313666.666666666667,201333.333333333333,2539.2384105960264900
1996,wettejo01,5445000.000000000000,1046916.666666666667,420.0987025392024200
1996,hentgpa01,3960764.111111111111,438300.000000000000,803.6650949375110900
1996,pettian01,8576463.500000000000,109000.000000000000,7768.3151376146789000
1996,buhneja01,3992355.833333333333,1651083.250000000000,141.8022127795999000
1996,lopezja01,5540000.000000000000,123500.000000000000,4385.8299595141700400
1996,willibe02,9281818.272727272727,200000.000000000000,4540.9091363636363600
1997,martipe02,12112965.416666666667,226000.000000000000,5259.7192109144542800
1997,palmera01,7004076.333333333333,2625930.900000000000,166.7273664106444400
1997,neaglde01,6226250.000000000000,702000.000000000000,786.9301994301994300
1997,garcino01,6027568.769230769231,109000.000000000000,5429.8796047988708500
1997,rolensc01,7415185.687500000000,109000.000000000000,6702.9226490825688100
1997,blausje01,4073333.333333333333,1428150.000000000000,185.2174724877172100
1997,martiti02,5288888.888888888889,849000.000000000000,522.9551105876194200
1997,riverma01,9949513.235294117647,120062.500000000000,8186.9449122699574400
1997,shawje01,3294999.800000000000,221250.000000000000,1389.2654463276836200
1997,ordonre01,3023214.285714285714,109000.000000000000,2673.5910878112713000
1998,easleda01,2422500.000000000000,298500.000000000000,711.5577889447236200
1998,brosisc01,4600000.000000000000,693833.333333333333,562.9834254143646400
1998,boonebr01,5712500.000000000000,624000.000000000000,815.4647435897435900
1998,brownke01,13741875.250000000000,2328388.888888888889,490.1881475030421600
1998,gordoto01,3479166.666666666667,1574222.222222222222,121.0086109542631300
1998,jonesan01,7111460.666666666667,130750.000000000000,5338.9756532823454400
1998,palmede01,6970833.333333333333,1388214.285714285714,402.1438984649687000
1998,vaughgr01,6997678.000000000000,2265055.555555555556,208.9406784233891700
1998,wellsda01,4213333.300000000000,1643533.400000000000,156.3582401185153900
1998,hitchst01,4797786.500000000000,356200.000000000000,1246.9361313868613100
1999,moyerja01,5876923.076923076923,630625.000000000000,831.9204086300221100
1999,delgaca01,13011363.636363636364,793500.000000000000,1539.7433694220083600
1999,jonesch06,11737152.357142857143,872000.000000000000,1246.0037106815203100
1999,urbinug01,4133333.333333333333,240250.000000000000,1620.4301075268817200
1999,liebemi01,5738888.777777777778,351600.000000000000,1532.2209265579572700
1999,hamptmi01,10930206.363636363636,719666.666666666667,1418.7873594677670600
1999,wagnebi02,7683333.333333333333,170750.000000000000,4399.7559785261103000
1999,caseyse01,4112000.000000000000,175000.000000000000,2249.7142857142857100
1999,alfoned01,5621875.000000000000,563500.000000000000,897.6708074534161500
1999,perezed02,597142.857142857143,154500.000000000000,286.5002311604253400
1999,guerrvl01,9627804.230769230769,190000.000000000000,4967.2653846153846200
1999,greensh01,10889507.333333333333,435083.333333333333,2402.8555449147672900
1999,limajo01,4656488.800000000000,158600.000000000000,2835.9954602774274900
1999,reesepo01,1652857.142857142857,185000.000000000000,793.4362934362934400
1999,hernaor01,3377500.000000000000,750000.000000000000,350.3333333333333300
2000,posadjo01,9725000.000000000000,252833.333333333333,3746.4073829927488500
2000,glaustr01,7142000.000000000000,188750.000000000000,3683.8410596026490100
2000,giambja01,9336190.214285714286,570466.600000000000,1536.5884022457606300
2000,rogerke01,6055555.555555555556,2560500.000000000000,136.4989476881685400
2000,renteed01,6880699.250000000000,788166.666666666667,773.0005392260520200
2000,heltoto01,11625000.000000000000,363333.333333333333,3099.5412844036697300
2000,dyeje01,7410000.100000000000,193500.000000000000,3729.4574160206718300
2000,alfonan01,1895000.000000000000,191666.666666666667,888.6956521739130400
2000,mathemi01,2392857.142857142857,329833.333333333333,625.4746264347072800
2000,jonesto02,3425235.000000000000,922214.285714285714,271.4142204321896100
2000,erstada01,4770000.000000000000,508333.333333333333,838.3606557377049200
2000,kentje01,7896013.000000000000,1898312.500000000000,315.9490600204128700
2000,stottto01,8000000.000000000000,2687136.363636363636,197.7147013549402000
2000,perezne01,2514062.500000000000,217250.000000000000,1057.2209436133486800
2000,ordonma01,11070062.166666666667,210000.000000000000,5171.4581746031746000
2001,gonzalu01,6416240.750000000000,1406333.300000000000,356.2389833192458700
2001,camermi01,6659090.909090909091,522333.333333333333,1174.8738179497592400
2001,benitar01,6166656.000000000000,1034142.857142857143,496.3060091172813900
2001,hunteto01,11408666.666666666667,212500.000000000000,5268.7843137254902000
2001,vinafe01,3999999.800000000000,844250.000000000000,373.7932839798637800
2001,chaveer01,5975000.000000000000,220500.000000000000,2609.7505668934240400
2001,cabreor01,4641818.181818181818,220166.666666666667,2008.3201431422476100
2001,aurilri01,3200000.000000000000,526583.333333333333,507.6910903623991100
2001,counscr01,2040000.100000000000,193333.333333333333,955.1724655172413800
2001,nenro01,8200000.000000000000,2075444.444444444444,295.0960972214786700
2001,ausmubr01,2955555.555555555556,1208062.500000000000,144.6525370629049000
2001,mientdo01,1612500.000000000000,200000.000000000000,706.2500000000000000
2002,kennead01,2029500.000000000000,227500.000000000000,792.0879120879120900
2002,kochbi01,4352777.666666666667,422222.000000000000,930.9215689060889000
2002,lowede01,9750000.000000000000,791750.000000000000,1131.4493211240922000
2002,zitoba01,11399583.333333333333,240000.000000000000,4649.8263888888888900
2002,molinbe01,3616666.666666666667,253333.333333333333,1327.6315789473684200
2002,graveda01,4275000.000000000000,619000.000000000000,590.6300484652665600
2002,anderga01,7111111.111111111111,1565375.000000000000,354.2752446609349900
2002,tejadmi01,8508696.181818181818,573400.000000000000,1383.9023686463519000
2002,soriaal01,12256153.846153846154,630000.000000000000,1845.4212454212454200
2003,hallaro01,13256818.181818181818,1055555.333333333333,1155.9093553110604500
