playerid,difference
aaronha01,2
abbotji01,2
abernte02,10
abreubo01,8
abreujo02,0
adamsba01,3
ageeto01,4
ainsmed01,2
akerja01,2
alexape01,0
alfonan01,3
alfoned01,4
allendi01,1
allenjo02,4
alleyge01,3
allisbo01,1
alomaro01,3
alomasa02,2
aloufe01,8
alouma01,9
aloumo01,4
altuvjo01,3
alvarpe01,3
amaroru01,6
anderga01,8
andujjo01,8
antonjo02,6
aparilu01,0
applilu01,6
archeji01,6
arenano01,0
armasto01,5
arrieja01,5
arroybr01,10
arroylu01,6
aurilri01,6
ausmubr01,8
averiea01,1
averyst01,1
avilaal01,2
avilabo01,5
axforjo01,2
aybarer01,5
baergca01,3
baezja01,2
bagbyji01,8
bagbyji02,4
bagweje01,0
bahnsst01,2
bailean01,0
baineha01,5
bakerdu01,9
bakerfr01,3
bancrda01,0
bandosa01,7
bankser01,2
barfije01,5
barneda01,2
barneje01,4
barnhtu01,3
barrema02,4
barremi01,7
barrere01,8
barryja01,5
bartedi01,5
bassljo01,11
batteea01,5
bautijo02,6
bayja01,1
baylodo01,9
beazljo01,1
beckegl01,3
beckejo02,2
beckro01,3
bedrost01,6
belanma01,4
bellbu01,7
belleal01,4
bellge02,4
bellhe01,5
bellico01,0
bellja01,7
beltrad01,6
beltrca01,1
benchjo01,1
bendech01,7
beniqju01,6
benitar01,7
bentola01,5
bergewa01,3
berkmla01,7
bernato01,7
berrayo01,1
berroan01,2
berryke01,8
bettsmo01,2
bibbyji01,8
bicheda01,7
bigbeca01,5
biggicr01,1
blackch02,5
blackew01,5
blackjo02,0
blairpa01,3
blausje01,10
blefacu01,0
bluegos01,3
bluevi01,2
boddimi01,3
bogaexa01,2
boggswa01,1
bollifr01,4
bondsba01,4
bondsbo01,3
bondto01,3
bonhati01,2
bonilbo01,2
boonebo01,4
boonebr01,6
bordepa01,4
borowha01,3
borowjo01,12
bottoji01,3
boudrlo01,8
bournmi01,3
bowala01,2
boyercl02,14
boyerke01,1
bradlja02,3
bradlph01,2
brancra01,3
branded01,3
brandja01,3
brantje01,8
brantmi02,5
braunry01,6
braunry02,0
breamsi01,7
brechha01,5
bresnro01,11
brettge01,3
bridgto01,3
brinked01,11
brittza01,5
brocklo01,6
brogler01,1
brookhu01,5
brosisc01,7
brownji03,4
brownke01,12
brownmo01,5
bruceja01,4
bryankr01,0
bryanro01,6
buehrma01,9
buhneja01,9
bumbral01,1
bumgama01,5
bunniji01,2
burdele01,7
burgesm01,12
burksel01,3
burleri01,3
burnsge01,3
burnsge02,12
burroje01,4
bushdo01,1
bushjo01,10
butlebi03,4
butlebr01,15
buxtoby01,2
byrdha01,2
cabreas01,4
cabreme01,7
cabremi01,2
cabreor01,4
cainlo01,4
calhoko01,3
callijo01,6
camermi01,6
camildo01,8
caminke01,8
camniho01,5
campabe01,9
camparo01,1
campbbi02,3
canoro01,1
cansejo01,1
cantwbe01,6
cardele01,5
carewro01,0
careyma01,7
carlsha01,9
carltst01,4
carpech01,8
carpema01,2
carribi02,3
carrocl02,8
cartega01,6
cartejo01,8
casanpa01,1
caseyse01,2
cashno01,3
castijo01,0
castilu01,7
castivi02,4
cavarph01,11
cedence01,2
cepedor01,0
ceronri01,5
cespeyo01,3
ceyro01,10
chambch01,0
chancde01,3
chancfr01,11
chandsp01,5
chapmra01,5
charbjo01,0
chaseha01,3
chaveer01,3
cicoted01,12
clarkfr01,14
clarkja01,3
clarkjo01,7
clarkwa02,8
clarkwi02,2
clemero01,6
clemero02,2
clenddo01,8
cliftha01,6
cobbty01,3
cochrmi01,0
coghlch01,0
colavro01,6
coleki01,1
colemje01,1
colemvi01,0
collied01,3
colonba01,8
combsea01,5
conceda01,4
coneda01,8
conigto01,6
coninje01,5
coombja01,4
coopece01,8
coopemo01,4
coopewa01,3
coopewi01,5
cordech01,2
cordewi01,2
cordoma01,0
correca01,0
counscr01,6
covelst01,8
cowenal01,3
cramedo01,6
crandde01,9
cravaga01,5
crawfbr01,4
crawfca02,7
crawfsa01,9
credejo01,6
crespcr01,3
crigelo01,12
cronijo01,4
crosbbo01,1
crowdal01,2
cruzjo01,13
cruzjo02,6
cruzne02,6
cuccito01,15
cuddymi01,12
cuellmi01,10
cullero01,7
cutshge01,6
cuyleki01,4
damonjo01,10
danniha01,5
darkal01,2
darliro01,6
daubeja01,1
daultda01,9
davalvi01,1
davenji01,4
davisal01,0
davisch02,5
daviscu01,5
daviser01,3
davisgl01,2
davisjo02,5
davisma01,9
davisto02,3
daviswi02,11
dawsoan01,1
deandi01,2
decindo01,9
degroja01,0
delgaca01,6
demarfr02,5
dempsri01,14
dennyjo01,9
dentbu01,5
dernibo01,4
derripa01,0
desmoia01,3
devermi01,5
devliar01,4
dibblro01,2
dickebi01,4
dickera01,11
dimagdo01,6
dimagjo01,0
dimagvi01,6
dobyla01,3
doerrbo01,7
donaljo02,5
donlimi01,9
donohpe01,4
donovbi01,10
donovdi01,12
dooinre01,9
doylela01,4
doziebr01,5
drabedo01,4
draveda01,7
drewjd01,6
dropowa01,1
drysddo01,6
duffyhu01,6
duganjo01,5
dunstsh01,4
durhale01,2
dyeje01,4
dykesji01,11
dykstle01,8
earnsge01,1
easleda01,6
eastelu01,3
eastwra01,2
eckerde01,13
eckstda01,5
edmonji01,2
edwarbr01,1
edwarjo01,2
ehmkeho01,8
elliobo01,5
ellsbja01,4
ennisde01,0
ensbemo01,5
erstada01,4
escobal02,7
estrach01,0
estrajo01,3
ethiean01,3
ettenni01,7
evansda01,4
evansdw01,4
eversjo01,6
faberre01,7
facero01,9
fainfe01,1
falkecy01,10
felizne01,1
fellebo01,3
felscha01,2
fernajo02,0
fernato01,3
ferrewe01,2
ferrida01,0
fettelo01,0
fidryma01,0
fieldce01,5
fieldpr01,2
fingero01,6
finlech01,3
finlest01,6
fisheed02,6
fiskca01,3
fitzsfr01,6
flanami01,4
flemida01,1
floodcu01,7
flynndo01,5
fonsele01,8
fordwh01,5
fornimi01,8
forscbo01,6
forstte01,3
fossera01,3
fostege01,7
foulkke01,6
foxne01,8
foxpe01,2
foxxji01,4
francje02,2
francjo01,4
francju01,6
frankry01,10
freehbi01,4
freemfr01,6
freesda01,2
fregoji01,3
frencla01,7
freylo01,6
frienbo01,7
friscfr01,2
frymatr01,2
fulmemi01,0
furcara01,0
furilca01,4
gaettga01,5
gagneer01,4
galaran01,3
gallayo01,3
gantro01,4
garcida01,4
garcino01,1
gardnbr01,8
gardnla01,4
garvest01,5
garzama01,2
gedmari01,6
gehrich01,5
gehrilo01,4
geronce01,5
giambja01,5
gibsobo01,5
gibsoge01,4
gibsoki01,5
gilesma01,2
gilliji01,0
giustda01,9
glaustr01,2
glavito02,4
goldspa01,2
gomesya01,2
gomezca01,6
gomezle01,2
gonzaad01,4
gonzaca01,2
gonzaju03,3
gonzalu01,11
goodedw01,0
goodmiv01,3
gordoal01,4
gordode01,4
gordojo01,1
gordosi01,8
gordoto01,10
gosligo01,4
gossari01,3
gowdyha01,6
gracema01,4
grandcu01,7
grangwa01,1
grantmu01,7
graveda01,6
graydo02,5
greendi01,11
greenha01,5
greenmi01,3
greensh01,6
greggve01,0
greinza01,5
grichbo01,3
grievbe01,1
